dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
dataset1,2,4,400,SVM,9,7,0.975,0.00402379035949707
dataset1,2,4,400,SVM,9,8,1.0,0.006031513214111328
dataset1,2,4,400,SVM,9,9,0.95,0.004998445510864258
dataset1,2,4,400,LogisticRegression,0,0,1.0,0.06061100959777832
dataset1,2,4,400,LogisticRegression,0,1,1.0,0.02760601043701172
dataset1,2,4,400,LogisticRegression,0,2,1.0,0.03858590126037598
dataset1,2,4,400,LogisticRegression,0,3,1.0,0.028131961822509766
dataset1,2,4,400,LogisticRegression,0,4,1.0,0.025654077529907227
dataset1,2,4,400,LogisticRegression,0,5,1.0,0.02388787269592285
dataset1,2,4,400,LogisticRegression,0,6,1.0,0.026118040084838867
dataset1,2,4,400,LogisticRegression,0,7,1.0,0.029362201690673828
dataset1,2,4,400,LogisticRegression,0,8,1.0,0.023935317993164062
dataset1,2,4,400,LogisticRegression,0,9,1.0,0.025907516479492188
dataset1,2,4,400,LogisticRegression,1,0,1.0,0.02188396453857422
dataset1,2,4,400,LogisticRegression,1,1,1.0,0.023650169372558594
dataset1,2,4,400,LogisticRegression,1,2,1.0,0.017882108688354492
dataset1,2,4,400,LogisticRegression,1,3,1.0,0.025685548782348633
dataset1,2,4,400,LogisticRegression,1,4,1.0,0.02594470977783203
dataset1,2,4,400,LogisticRegression,1,5,1.0,0.0518186092376709
dataset1,2,4,400,LogisticRegression,1,6,1.0,0.027388334274291992
dataset1,2,4,400,LogisticRegression,1,7,1.0,0.02553105354309082
dataset1,2,4,400,LogisticRegression,1,8,1.0,0.024762392044067383
dataset1,2,4,400,LogisticRegression,1,9,1.0,0.02385711669921875
dataset1,2,4,400,LogisticRegression,2,0,1.0,0.039647817611694336
dataset1,2,4,400,LogisticRegression,2,1,1.0,0.02912139892578125
dataset1,2,4,400,LogisticRegression,2,2,1.0,0.030009746551513672
dataset1,2,4,400,LogisticRegression,2,3,1.0,0.03022289276123047
dataset1,2,4,400,LogisticRegression,2,4,1.0,0.03164362907409668
dataset1,2,4,400,LogisticRegression,2,5,1.0,0.024259090423583984
dataset1,2,4,400,LogisticRegression,2,6,1.0,0.02363133430480957
dataset1,2,4,400,LogisticRegression,2,7,1.0,0.023891448974609375
dataset1,2,4,400,LogisticRegression,2,8,1.0,0.01965951919555664
dataset1,2,4,400,LogisticRegression,2,9,1.0,0.02394700050354004
dataset1,2,4,400,LogisticRegression,3,0,1.0,0.02770066261291504
dataset1,2,4,400,LogisticRegression,3,1,1.0,0.031130552291870117
dataset1,2,4,400,LogisticRegression,3,2,1.0,0.027563095092773438
dataset1,2,4,400,LogisticRegression,3,3,1.0,0.0239102840423584
dataset1,2,4,400,LogisticRegression,3,4,1.0,0.03205990791320801
dataset1,2,4,400,LogisticRegression,3,5,1.0,0.02332139015197754
dataset1,2,4,400,LogisticRegression,3,6,1.0,0.02391362190246582
dataset1,2,4,400,LogisticRegression,3,7,1.0,0.02981877326965332
dataset1,2,4,400,LogisticRegression,3,8,1.0,0.029079914093017578
dataset1,2,4,400,LogisticRegression,3,9,1.0,0.026061296463012695
dataset1,2,4,400,LogisticRegression,4,0,1.0,0.029754638671875
dataset1,2,4,400,LogisticRegression,4,1,1.0,0.020108938217163086
dataset1,2,4,400,LogisticRegression,4,2,1.0,0.025668621063232422
dataset1,2,4,400,LogisticRegression,4,3,1.0,0.021631956100463867
dataset1,2,4,400,LogisticRegression,4,4,1.0,0.021941184997558594
dataset1,2,4,400,LogisticRegression,4,5,1.0,0.025696754455566406
dataset1,2,4,400,LogisticRegression,4,6,1.0,0.019896984100341797
dataset1,2,4,400,LogisticRegression,4,7,1.0,0.033657073974609375
dataset1,2,4,400,LogisticRegression,4,8,1.0,0.03445839881896973
dataset1,2,4,400,LogisticRegression,4,9,1.0,0.02259659767150879
dataset1,2,4,400,LogisticRegression,5,0,1.0,0.02396845817565918
dataset1,2,4,400,LogisticRegression,5,1,1.0,0.023676156997680664
dataset1,2,4,400,LogisticRegression,5,2,1.0,0.02596259117126465
dataset1,2,4,400,LogisticRegression,5,3,1.0,0.0256805419921875
dataset1,2,4,400,LogisticRegression,5,4,1.0,0.02576899528503418
dataset1,2,4,400,LogisticRegression,5,5,1.0,0.03474903106689453
