dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
mushroom,2,6,154,LogisticRegression,1,0,0.75,0.013744354248046875
mushroom,2,6,154,LogisticRegression,1,1,0.75,0.013837814331054688
mushroom,2,6,154,LogisticRegression,1,2,0.75,0.01185464859008789
mushroom,2,6,154,LogisticRegression,1,3,0.75,0.015750408172607422
mushroom,2,6,154,LogisticRegression,1,4,0.7333333333333333,0.015806198120117188
mushroom,2,6,154,LogisticRegression,1,5,0.7333333333333333,0.01570439338684082
mushroom,2,6,154,LogisticRegression,1,6,0.7333333333333333,0.015865325927734375
mushroom,2,6,154,LogisticRegression,1,7,0.7333333333333333,0.028206348419189453
mushroom,2,6,154,LogisticRegression,1,8,0.7333333333333333,0.02701735496520996
mushroom,2,6,154,LogisticRegression,1,9,0.7333333333333333,0.014607429504394531
mushroom,2,6,154,LogisticRegression,2,0,0.75,0.019260406494140625
mushroom,2,6,154,LogisticRegression,2,1,0.75,0.016422033309936523
mushroom,2,6,154,LogisticRegression,2,2,0.75,0.01498270034790039
mushroom,2,6,154,LogisticRegression,2,3,0.75,0.0173184871673584
mushroom,2,6,154,LogisticRegression,2,4,0.7333333333333333,0.014372825622558594
mushroom,2,6,154,LogisticRegression,2,5,0.7333333333333333,0.016635656356811523
mushroom,2,6,154,LogisticRegression,2,6,0.7333333333333333,0.030716896057128906
mushroom,2,6,154,LogisticRegression,2,7,0.7333333333333333,0.04233503341674805
mushroom,2,6,154,LogisticRegression,2,8,0.7333333333333333,0.02192521095275879
mushroom,2,6,154,LogisticRegression,2,9,0.7333333333333333,0.021690845489501953
mushroom,2,6,154,LogisticRegression,3,0,0.75,0.013306379318237305
mushroom,2,6,154,LogisticRegression,3,1,0.75,0.01738572120666504
mushroom,2,6,154,LogisticRegression,3,2,0.75,0.014550209045410156
mushroom,2,6,154,LogisticRegression,3,3,0.75,0.016411304473876953
mushroom,2,6,154,LogisticRegression,3,4,0.7333333333333333,0.015088558197021484
mushroom,2,6,154,LogisticRegression,3,5,0.7333333333333333,0.031743526458740234
mushroom,2,6,154,LogisticRegression,3,6,0.7333333333333333,0.01714920997619629
mushroom,2,6,154,LogisticRegression,3,7,0.7333333333333333,0.014492511749267578
mushroom,2,6,154,LogisticRegression,3,8,0.7333333333333333,0.015698671340942383
mushroom,2,6,154,LogisticRegression,3,9,0.7333333333333333,0.03156614303588867
mushroom,2,6,154,LogisticRegression,4,0,0.75,0.018467187881469727
mushroom,2,6,154,LogisticRegression,4,1,0.75,0.020966529846191406
mushroom,2,6,154,LogisticRegression,4,2,0.75,0.01778435707092285
mushroom,2,6,154,LogisticRegression,4,3,0.75,0.007142305374145508
mushroom,2,6,154,LogisticRegression,4,4,0.7333333333333333,0.03164982795715332
mushroom,2,6,154,LogisticRegression,4,5,0.7333333333333333,0.01591205596923828
mushroom,2,6,154,LogisticRegression,4,6,0.7333333333333333,0.016628265380859375
mushroom,2,6,154,LogisticRegression,4,7,0.7333333333333333,0.016210556030273438
mushroom,2,6,154,LogisticRegression,4,8,0.7333333333333333,0.014516592025756836
mushroom,2,6,154,LogisticRegression,4,9,0.7333333333333333,0.016571760177612305
mushroom,2,6,154,LogisticRegression,5,0,0.75,0.015101432800292969
mushroom,2,6,154,LogisticRegression,5,1,0.75,0.016093969345092773
mushroom,2,6,154,LogisticRegression,5,2,0.75,0.032326698303222656
mushroom,2,6,154,LogisticRegression,5,3,0.75,0.025316238403320312
mushroom,2,6,154,LogisticRegression,5,4,0.7333333333333333,0.016742229461669922
mushroom,2,6,154,LogisticRegression,5,5,0.7333333333333333,0.01923346519470215
mushroom,2,6,154,LogisticRegression,5,6,0.7333333333333333,0.020872831344604492
mushroom,2,6,154,LogisticRegression,5,7,0.7333333333333333,0.016736268997192383
mushroom,2,6,154,LogisticRegression,5,8,0.7333333333333333,0.016515731811523438
mushroom,2,6,154,LogisticRegression,5,9,0.7333333333333333,0.017088651657104492
mushroom,2,6,154,LogisticRegression,6,0,0.75,0.018846988677978516
mushroom,2,6,154,LogisticRegression,6,1,0.75,0.015370607376098633
mushroom,2,6,154,LogisticRegression,6,2,0.75,0.014212608337402344
mushroom,2,6,154,LogisticRegression,6,3,0.75,0.017333030700683594
mushroom,2,6,154,LogisticRegression,6,4,0.7333333333333333,0.014137029647827148
mushroom,2,6,154,LogisticRegression,6,5,0.7333333333333333,0.028442859649658203
mushroom,2,6,154,LogisticRegression,6,6,0.7333333333333333,0.017319440841674805
mushroom,2,6,154,LogisticRegression,6,7,0.7333333333333333,0.020900487899780273
mushroom,2,6,154,LogisticRegression,6,8,0.7333333333333333,0.016755342483520508
mushroom,2,6,154,LogisticRegression,6,9,0.7333333333333333,0.022167682647705078
mushroom,2,6,154,LogisticRegression,7,0,0.75,0.019780397415161133
mushroom,2,6,154,LogisticRegression,7,1,0.75,0.011852741241455078
mushroom,2,6,154,LogisticRegression,7,2,0.75,0.017249107360839844
mushroom,2,6,154,LogisticRegression,7,3,0.6875,0.014393806457519531
mushroom,2,6,154,LogisticRegression,7,4,0.7333333333333333,0.015926122665405273
mushroom,2,6,154,LogisticRegression,7,5,0.7333333333333333,0.03168892860412598
mushroom,2,6,154,LogisticRegression,7,6,0.7333333333333333,0.027631521224975586
mushroom,2,6,154,LogisticRegression,7,7,0.7333333333333333,0.017149925231933594
mushroom,2,6,154,LogisticRegression,7,8,0.7333333333333333,0.021410465240478516
mushroom,2,6,154,LogisticRegression,7,9,0.7333333333333333,0.016695261001586914
mushroom,2,6,154,LogisticRegression,8,0,0.75,0.016263246536254883
mushroom,2,6,154,LogisticRegression,8,1,0.75,0.015180826187133789
mushroom,2,6,154,LogisticRegression,8,2,0.75,0.024477243423461914
mushroom,2,6,154,LogisticRegression,8,3,0.75,0.017525196075439453
mushroom,2,6,154,LogisticRegression,8,4,0.7333333333333333,0.023545503616333008
mushroom,2,6,154,LogisticRegression,8,5,0.7333333333333333,0.007689237594604492
mushroom,2,6,154,LogisticRegression,8,6,0.7333333333333333,0.03135561943054199
mushroom,2,6,154,LogisticRegression,8,7,0.7333333333333333,0.01775336265563965
mushroom,2,6,154,LogisticRegression,8,8,0.7333333333333333,0.0188295841217041
mushroom,2,6,154,LogisticRegression,8,9,0.7333333333333333,0.026198863983154297
mushroom,2,6,154,LogisticRegression,9,0,0.75,0.025038480758666992
mushroom,2,6,154,LogisticRegression,9,1,0.75,0.008498668670654297
mushroom,2,6,154,LogisticRegression,9,2,0.75,0.03133082389831543
mushroom,2,6,154,LogisticRegression,9,3,0.75,0.021018266677856445
mushroom,2,6,154,LogisticRegression,9,4,0.7333333333333333,0.016269683837890625
mushroom,2,6,154,LogisticRegression,9,5,0.6666666666666666,0.011583089828491211
mushroom,2,6,154,LogisticRegression,9,6,0.7333333333333333,0.014460563659667969
mushroom,2,6,154,LogisticRegression,9,7,0.7333333333333333,0.031586408615112305
mushroom,2,6,154,LogisticRegression,9,8,0.7333333333333333,0.015757322311401367
mushroom,2,6,154,LogisticRegression,9,9,0.7333333333333333,0.015709638595581055
mushroom,2,6,154,KNN,0,0,0.625,0.0020143985748291016
mushroom,2,6,154,KNN,0,1,0.5,0.0
mushroom,2,6,154,KNN,0,2,0.6875,0.0
mushroom,2,6,154,KNN,0,3,0.75,0.002008676528930664
mushroom,2,6,154,KNN,0,4,0.7333333333333333,0.0
mushroom,2,6,154,KNN,0,5,0.6666666666666666,0.0
mushroom,2,6,154,KNN,0,6,0.7333333333333333,0.0
mushroom,2,6,154,KNN,0,7,0.8,0.0
mushroom,2,6,154,KNN,0,8,0.7333333333333333,0.0
mushroom,2,6,154,KNN,0,9,0.7333333333333333,0.0
mushroom,2,6,154,KNN,1,0,0.6875,0.0
