,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
2,european_climates,2,32,324,wflvq,5,2,0.8181818181818182,10.875608921051025
3,european_climates,2,32,324,wflvq,5,3,0.8787878787878788,27.745702743530273
4,european_climates,2,32,324,wflvq,5,4,0.9696969696969697,35.933311223983765
5,european_climates,2,32,324,wflvq,5,5,0.8787878787878788,11.053152799606323
6,european_climates,2,32,324,wflvq,5,6,0.90625,41.5941846370697
7,european_climates,2,32,324,wflvq,5,7,0.9375,65.29342103004456
8,european_climates,2,32,324,wflvq,5,8,0.9032258064516129,92.00781345367432
9,european_climates,2,32,324,wflvq,5,9,1.0,79.97845482826233
0,european_climates,2,32,324,wflvq,6,0,0.9696969696969697,91.78676462173462
1,european_climates,2,32,324,wflvq,6,1,0.8787878787878788,16.4461510181427
2,european_climates,2,32,324,wflvq,6,2,1.0,25.199963808059692
3,european_climates,2,32,324,wflvq,6,3,0.8787878787878788,19.329074382781982
4,european_climates,2,32,324,wflvq,6,4,0.9393939393939394,39.004576206207275
5,european_climates,2,32,324,wflvq,6,5,0.9696969696969697,18.359955549240112
6,european_climates,2,32,324,wflvq,6,6,0.9375,49.99780797958374
7,european_climates,2,32,324,wflvq,6,7,0.875,28.706258535385132
8,european_climates,2,32,324,wflvq,6,8,0.9032258064516129,43.16005754470825
9,european_climates,2,32,324,wflvq,6,9,0.9354838709677419,35.071044921875
0,european_climates,2,32,324,wflvq,7,0,0.9393939393939394,32.9985568523407
1,european_climates,2,32,324,wflvq,7,1,0.9090909090909091,49.36555457115173
2,european_climates,2,32,324,wflvq,7,2,0.9393939393939394,33.56118130683899
3,european_climates,2,32,324,wflvq,7,3,0.9393939393939394,24.77534794807434
4,european_climates,2,32,324,wflvq,7,4,0.9393939393939394,32.61960697174072
5,european_climates,2,32,324,wflvq,7,5,0.8787878787878788,16.123699188232422
6,european_climates,2,32,324,wflvq,7,6,0.96875,16.18430781364441
7,european_climates,2,32,324,wflvq,7,7,0.84375,68.1219973564148
8,european_climates,2,32,324,wflvq,7,8,0.967741935483871,10.365688562393188
9,european_climates,2,32,324,wflvq,7,9,0.8709677419354839,15.714094400405884
0,european_climates,2,32,324,wflvq,8,0,0.9090909090909091,32.1845498085022
1,european_climates,2,32,324,wflvq,8,1,0.9090909090909091,17.412768125534058
2,european_climates,2,32,324,wflvq,8,2,0.9393939393939394,23.575393199920654
3,european_climates,2,32,324,wflvq,8,3,0.9696969696969697,46.168758392333984
4,european_climates,2,32,324,wflvq,8,4,0.9393939393939394,38.52649688720703
5,european_climates,2,32,324,wflvq,8,5,0.9696969696969697,96.4388735294342
6,european_climates,2,32,324,wflvq,8,6,0.96875,26.29245376586914
7,european_climates,2,32,324,wflvq,8,7,0.84375,12.211060523986816
8,european_climates,2,32,324,wflvq,8,8,0.9032258064516129,31.58844804763794
9,european_climates,2,32,324,wflvq,8,9,0.9032258064516129,30.7082679271698
0,european_climates,2,32,324,wflvq,9,0,0.9090909090909091,20.501624584197998
1,european_climates,2,32,324,wflvq,9,1,0.9393939393939394,29.830078125
2,european_climates,2,32,324,wflvq,9,2,0.9090909090909091,13.236752033233643
3,european_climates,2,32,324,wflvq,9,3,0.9696969696969697,33.07996439933777
4,european_climates,2,32,324,wflvq,9,4,0.9393939393939394,27.96524691581726
5,european_climates,2,32,324,wflvq,9,5,1.0,42.01756024360657
6,european_climates,2,32,324,wflvq,9,6,0.875,27.50980830192566
7,european_climates,2,32,324,wflvq,9,7,0.9375,36.511630058288574
8,european_climates,2,32,324,wflvq,9,8,0.8387096774193549,18.37910032272339
9,european_climates,2,32,324,wflvq,9,9,0.9354838709677419,43.57800006866455
