Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
2,dataset3,2,3.000000,700,sdsa_svc,9,2,0.985714,0.205714,dataset-dataset3-mc-9.csv,sdsa_svc
3,dataset3,2,3.000000,700,sdsa_svc,9,3,0.985714,0.206253,dataset-dataset3-mc-9.csv,sdsa_svc
4,dataset3,2,3.000000,700,sdsa_svc,9,4,0.942857,0.205544,dataset-dataset3-mc-9.csv,sdsa_svc
5,dataset3,2,3.000000,700,sdsa_svc,9,5,0.928571,0.173089,dataset-dataset3-mc-9.csv,sdsa_svc
6,dataset3,2,3.000000,700,sdsa_svc,9,6,0.985714,0.103282,dataset-dataset3-mc-9.csv,sdsa_svc
7,dataset3,2,3.000000,700,sdsa_svc,9,7,0.957143,0.102118,dataset-dataset3-mc-9.csv,sdsa_svc
8,dataset3,2,3.000000,700,sdsa_svc,9,8,0.957143,0.107023,dataset-dataset3-mc-9.csv,sdsa_svc
9,dataset3,2,3.000000,700,sdsa_svc,9,9,0.957143,0.100936,dataset-dataset3-mc-9.csv,sdsa_svc
0,dataset2,2,2.000000,700,sdsa_svc,5,0,0.985714,0.116235,dataset-dataset2-mc-5.csv,sdsa_svc
1,dataset2,2,2.000000,700,sdsa_svc,5,1,0.985714,0.116293,dataset-dataset2-mc-5.csv,sdsa_svc
2,dataset2,2,2.000000,700,sdsa_svc,5,2,0.957143,0.114659,dataset-dataset2-mc-5.csv,sdsa_svc
3,dataset2,2,2.000000,700,sdsa_svc,5,3,0.928571,0.113431,dataset-dataset2-mc-5.csv,sdsa_svc
4,dataset2,2,2.000000,700,sdsa_svc,5,4,0.957143,0.113227,dataset-dataset2-mc-5.csv,sdsa_svc
5,dataset2,2,2.000000,700,sdsa_svc,5,5,0.914286,0.110974,dataset-dataset2-mc-5.csv,sdsa_svc
6,dataset2,2,2.000000,700,sdsa_svc,5,6,0.942857,0.112397,dataset-dataset2-mc-5.csv,sdsa_svc
7,dataset2,2,2.000000,700,sdsa_svc,5,7,0.957143,0.118178,dataset-dataset2-mc-5.csv,sdsa_svc
8,dataset2,2,2.000000,700,sdsa_svc,5,8,0.900000,0.111099,dataset-dataset2-mc-5.csv,sdsa_svc
9,dataset2,2,2.000000,700,sdsa_svc,5,9,0.957143,0.114790,dataset-dataset2-mc-5.csv,sdsa_svc
0,climates,10,16.000000,1415,sdsa_svc,7,0,0.746479,0.539379,dataset-climates-mc-7.csv,sdsa_svc
1,climates,10,16.000000,1415,sdsa_svc,7,1,0.802817,0.551562,dataset-climates-mc-7.csv,sdsa_svc
2,climates,10,16.000000,1415,sdsa_svc,7,2,0.718310,0.546127,dataset-climates-mc-7.csv,sdsa_svc
3,climates,10,16.000000,1415,sdsa_svc,7,3,0.725352,0.543768,dataset-climates-mc-7.csv,sdsa_svc
4,climates,10,16.000000,1415,sdsa_svc,7,4,0.802817,0.544073,dataset-climates-mc-7.csv,sdsa_svc
5,climates,10,16.000000,1415,sdsa_svc,7,5,0.773050,0.560089,dataset-climates-mc-7.csv,sdsa_svc
6,climates,10,16.000000,1415,sdsa_svc,7,6,0.787234,0.541309,dataset-climates-mc-7.csv,sdsa_svc
7,climates,10,16.000000,1415,sdsa_svc,7,7,0.758865,0.549958,dataset-climates-mc-7.csv,sdsa_svc
8,climates,10,16.000000,1415,sdsa_svc,7,8,0.751773,0.536738,dataset-climates-mc-7.csv,sdsa_svc
9,climates,10,16.000000,1415,sdsa_svc,7,9,0.737589,0.556488,dataset-climates-mc-7.csv,sdsa_svc
0,dataset3,2,3.000000,700,sdsa_svc,3,0,0.971429,0.114766,dataset-dataset3-mc-3.csv,sdsa_svc
1,dataset3,2,3.000000,700,sdsa_svc,3,1,0.900000,0.116502,dataset-dataset3-mc-3.csv,sdsa_svc
