dataset,classifier,acc_mean_Euclidean,acc_std_Euclidean,time_mean_Euclidean,time_std_Euclidean,acc_mean_Hausdorff,acc_std_Hausdorff,time_mean_Hausdorff,time_std_Hausdorff,acc_mean_Block,acc_std_Block,time_mean_Block,time_std_Block
dry_climates,sdsa_xgb_not_update,0.951313,0.031163,1.334524,0.225194,,,,,,,,
european_climates,ivabc,0.955814,0.034165,216.689227,96.477572,0.955814,0.034165,216.689227,96.477572,0.955814,0.034165,216.689227,96.477572
european_climates,knn,0.94196,0.036705,2.2e-05,1.7e-05,,,,,,,,
european_climates,sdsa,0.924025,0.039408,0.346861,0.065136,0.940672,0.040899,0.135661,0.038994,0.941676,0.039079,0.132279,0.039212
european_climates,sdsa_knn,0.935758,0.044521,0.491017,0.072655,0.95803,0.034098,0.175873,0.047992,0.949981,0.037212,0.188899,0.066841
european_climates,sdsa_knn_not_update,0.936705,0.042344,0.030328,0.008624,0.954318,0.036029,0.01871,0.007791,0.949697,0.03633,0.019396,0.009529
european_climates,sdsa_lr,0.962244,0.038767,3.724894,1.458465,,,,,,,,
european_climates,sdsa_lr_not_update,0.961638,0.036275,1.367702,0.489421,,,,,,,,
european_climates,sdsa_not_update,0.91875,0.047037,0.043602,0.010218,0.9466,0.039436,0.016961,0.002738,0.946619,0.0375,0.017183,0.003045
european_climates,sdsa_rf,0.929886,0.043296,1.26416,0.246582,0.956989,0.037889,0.272106,0.072858,0.955521,0.031712,0.265512,0.072257
european_climates,sdsa_rf_not_update,0.930492,0.045219,0.397822,0.123514,0.95643,0.036298,0.155766,0.035416,0.953958,0.03362,0.149724,0.034554
european_climates,sdsa_svc,0.941051,0.040122,0.780743,0.208622,0.941392,0.038451,0.126004,0.037041,0.949309,0.034755,0.12575,0.038846
european_climates,sdsa_svc_not_update,0.940739,0.040272,0.040408,0.008203,0.942926,0.038624,0.009977,0.002244,0.947481,0.034153,0.009749,0.002218
european_climates,sdsa_xgb,0.94035,0.042043,0.729935,0.213526,,,,,,,,
european_climates,sdsa_xgb_not_update,0.943778,0.036848,0.332266,0.183845,,,,,,,,
mushroom,ivabc,0.718542,0.057827,16.180895,6.76772,0.718542,0.057827,16.180895,6.76772,0.718542,0.057827,16.180895,6.76772
mushroom,knn,0.62825,0.077327,1.6e-05,9e-06,,,,,,,,
mushroom,sdsa,0.613833,0.113735,0.043277,0.009395,0.66525,0.117915,0.020047,0.005326,0.619833,0.104296,0.019442,0.005138
mushroom,sdsa_knn,0.688917,0.069973,0.101401,0.038087,0.67575,0.078313,0.019689,0.004713,0.703667,0.073675,0.019732,0.004871
mushroom,sdsa_knn_not_update,0.700542,0.091549,0.008749,0.010705,0.683125,0.083263,0.001403,0.000466,0.690708,0.084231,0.001737,0.000491
mushroom,sdsa_lr,0.725208,0.037677,0.191924,0.039938,,,,,,,,
mushroom,sdsa_lr_not_update,0.730208,0.032553,0.055096,0.014885,,,,,,,,
mushroom,sdsa_not_update,0.610042,0.111934,0.00567,0.002514,0.648292,0.113596,0.002161,0.000497,0.596,0.117168,0.002433,0.000582
mushroom,sdsa_rf,0.660375,0.084205,0.251463,0.056411,0.7205,0.085364,0.124107,0.03283,0.666125,0.078729,0.125421,0.032753
mushroom,sdsa_rf_not_update,0.68325,0.086649,0.347641,0.102066,0.712667,0.093045,0.107596,0.027935,0.667917,0.102753,0.10925,0.028178
mushroom,sdsa_svc,0.74,0.008206,0.094386,0.019053,0.74,0.008206,0.019542,0.005259,0.74,0.008206,0.01988,0.005208
mushroom,sdsa_svc_not_update,0.74,0.008206,0.007999,0.002379,0.74,0.008206,0.002418,0.000628,0.74,0.008206,0.002377,0.000634
mushroom,sdsa_xgb,0.651292,0.103064,0.20768,0.111121,,,,,,,,
mushroom,sdsa_xgb_not_update,0.653708,0.105199,0.12818,0.052124,,,,,,,,
