Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
3,european-climates,2,16.000000,324,sdsa_svc,9,3,0.939394,0.469233
4,european-climates,2,16.000000,324,sdsa_svc,9,4,0.906250,0.496295
5,european-climates,2,16.000000,324,sdsa_svc,9,5,0.906250,0.435405
6,european-climates,2,16.000000,324,sdsa_svc,9,6,1.000000,0.483873
7,european-climates,2,16.000000,324,sdsa_svc,9,7,0.968750,0.473751
8,european-climates,2,16.000000,324,sdsa_svc,9,8,0.937500,0.436272
9,european-climates,2,16.000000,324,sdsa_svc,9,9,0.906250,0.431720
0,mushroom,2,3.000000,154,sdsa_svc,5,0,0.750000,0.101199
1,mushroom,2,3.000000,154,sdsa_svc,5,1,0.750000,0.106805
2,mushroom,2,3.000000,154,sdsa_svc,5,2,0.750000,0.110360
3,mushroom,2,3.000000,154,sdsa_svc,5,3,0.750000,0.068662
4,mushroom,2,3.000000,154,sdsa_svc,5,4,0.733333,0.087980
5,mushroom,2,3.000000,154,sdsa_svc,5,5,0.733333,0.079110
6,mushroom,2,3.000000,154,sdsa_svc,5,6,0.733333,0.108992
7,mushroom,2,3.000000,154,sdsa_svc,5,7,0.733333,0.101537
8,mushroom,2,3.000000,154,sdsa_svc,5,8,0.733333,0.114302
9,mushroom,2,3.000000,154,sdsa_svc,5,9,0.733333,0.077281
0,dry-climates,3,16.000000,522,sdsa_svc,4,0,0.943396,1.147919
1,dry-climates,3,16.000000,522,sdsa_svc,4,1,0.886792,1.257121
2,dry-climates,3,16.000000,522,sdsa_svc,4,2,0.961538,1.716593
3,dry-climates,3,16.000000,522,sdsa_svc,4,3,0.942308,1.478441
4,dry-climates,3,16.000000,522,sdsa_svc,4,4,0.961538,1.747802
5,dry-climates,3,16.000000,522,sdsa_svc,4,5,1.000000,1.205511
6,dry-climates,3,16.000000,522,sdsa_svc,4,6,0.903846,1.656354
7,dry-climates,3,16.000000,522,sdsa_svc,4,7,0.846154,1.250132
8,dry-climates,3,16.000000,522,sdsa_svc,4,8,0.903846,1.655001
9,dry-climates,3,16.000000,522,sdsa_svc,4,9,0.923077,1.479011
0,dry-climates,3,16.000000,522,sdsa_svc,6,0,0.943396,1.700242
1,dry-climates,3,16.000000,522,sdsa_svc,6,1,0.962264,1.612630
2,dry-climates,3,16.000000,522,sdsa_svc,6,2,0.903846,1.750734
3,dry-climates,3,16.000000,522,sdsa_svc,6,3,0.942308,1.215948
4,dry-climates,3,16.000000,522,sdsa_svc,6,4,0.923077,0.965606
5,dry-climates,3,16.000000,522,sdsa_svc,6,5,0.942308,1.427126
6,dry-climates,3,16.000000,522,sdsa_svc,6,6,0.923077,1.186458
7,dry-climates,3,16.000000,522,sdsa_svc,6,7,0.903846,1.312812
8,dry-climates,3,16.000000,522,sdsa_svc,6,8,0.923077,1.803405
9,dry-climates,3,16.000000,522,sdsa_svc,6,9,0.903846,1.554476
0,dataset2,2,2.000000,700,sdsa_svc,0,0,0.985714,0.325093
1,dataset2,2,2.000000,700,sdsa_svc,0,1,0.971429,0.312089
2,dataset2,2,2.000000,700,sdsa_svc,0,2,0.942857,0.351392
3,dataset2,2,2.000000,700,sdsa_svc,0,3,0.942857,0.287139
4,dataset2,2,2.000000,700,sdsa_svc,0,4,0.971429,0.316249
5,dataset2,2,2.000000,700,sdsa_svc,0,5,0.885714,0.300160
6,dataset2,2,2.000000,700,sdsa_svc,0,6,0.942857,0.350273
7,dataset2,2,2.000000,700,sdsa_svc,0,7,0.971429,0.301997
8,dataset2,2,2.000000,700,sdsa_svc,0,8,0.942857,0.297824
9,dataset2,2,2.000000,700,sdsa_svc,0,9,0.942857,0.319647
0,dataset2,2,2.000000,700,sdsa_svc,1,0,0.985714,0.308923
1,dataset2,2,2.000000,700,sdsa_svc,1,1,0.942857,0.337625
2,dataset2,2,2.000000,700,sdsa_svc,1,2,0.957143,0.312965
3,dataset2,2,2.000000,700,sdsa_svc,1,3,0.957143,0.328279
4,dataset2,2,2.000000,700,sdsa_svc,1,4,0.942857,0.339311
5,dataset2,2,2.000000,700,sdsa_svc,1,5,0.971429,0.345760
6,dataset2,2,2.000000,700,sdsa_svc,1,6,0.914286,0.310489
7,dataset2,2,2.000000,700,sdsa_svc,1,7,0.928571,0.314246
8,dataset2,2,2.000000,700,sdsa_svc,1,8,0.900000,0.331785
9,dataset2,2,2.000000,700,sdsa_svc,1,9,0.942857,0.348858
0,dataset2,2,2.000000,700,sdsa_svc,2,0,0.928571,0.304410
1,dataset2,2,2.000000,700,sdsa_svc,2,1,0.928571,0.341335
2,dataset2,2,2.000000,700,sdsa_svc,2,2,0.957143,0.299813
3,dataset2,2,2.000000,700,sdsa_svc,2,3,0.942857,0.282862
4,dataset2,2,2.000000,700,sdsa_svc,2,4,0.942857,0.310046
5,dataset2,2,2.000000,700,sdsa_svc,2,5,0.942857,0.315229
6,dataset2,2,2.000000,700,sdsa_svc,2,6,0.914286,0.309685
7,dataset2,2,2.000000,700,sdsa_svc,2,7,0.985714,0.323223
8,dataset2,2,2.000000,700,sdsa_svc,2,8,0.928571,0.280073
9,dataset2,2,2.000000,700,sdsa_svc,2,9,0.971429,0.325293
0,dataset2,2,2.000000,700,sdsa_svc,3,0,0.928571,0.292259
1,dataset2,2,2.000000,700,sdsa_svc,3,1,0.942857,0.314820
2,dataset2,2,2.000000,700,sdsa_svc,3,2,0.900000,0.305738
3,dataset2,2,2.000000,700,sdsa_svc,3,3,0.971429,0.277274
4,dataset2,2,2.000000,700,sdsa_svc,3,4,0.971429,0.314861
5,dataset2,2,2.000000,700,sdsa_svc,3,5,0.971429,0.323372
6,dataset2,2,2.000000,700,sdsa_svc,3,6,0.942857,0.302485
7,dataset2,2,2.000000,700,sdsa_svc,3,7,0.971429,0.309677
8,dataset2,2,2.000000,700,sdsa_svc,3,8,0.971429,0.292383
9,dataset2,2,2.000000,700,sdsa_svc,3,9,0.900000,0.339926
0,dataset2,2,2.000000,700,sdsa_svc,4,0,0.928571,0.335237
1,dataset2,2,2.000000,700,sdsa_svc,4,1,0.914286,0.362303
2,dataset2,2,2.000000,700,sdsa_svc,4,2,0.942857,0.357602
3,dataset2,2,2.000000,700,sdsa_svc,4,3,0.914286,0.344633
4,dataset2,2,2.000000,700,sdsa_svc,4,4,0.957143,0.335701
5,dataset2,2,2.000000,700,sdsa_svc,4,5,0.985714,0.328000
6,dataset2,2,2.000000,700,sdsa_svc,4,6,0.928571,0.338274
7,dataset2,2,2.000000,700,sdsa_svc,4,7,0.942857,0.327681
8,dataset2,2,2.000000,700,sdsa_svc,4,8,0.971429,0.367104
9,dataset2,2,2.000000,700,sdsa_svc,4,9,0.957143,0.264580
0,dataset2,2,2.000000,700,sdsa_svc,5,0,0.985714,0.324027
1,dataset2,2,2.000000,700,sdsa_svc,5,1,0.985714,0.357913
2,dataset2,2,2.000000,700,sdsa_svc,5,2,0.957143,0.310290
3,dataset2,2,2.000000,700,sdsa_svc,5,3,0.900000,0.312411
4,dataset2,2,2.000000,700,sdsa_svc,5,4,0.942857,0.313943
5,dataset2,2,2.000000,700,sdsa_svc,5,5,0.928571,0.330129
6,dataset2,2,2.000000,700,sdsa_svc,5,6,0.957143,0.285212
