Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
8,dry-climates,3,16.000000,522,sdsa_svc,2,8,0.942308,0.195281,dataset-dry-climates-mc-2.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,2,9,0.923077,0.184311,dataset-dry-climates-mc-2.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,1,0,0.969697,0.195628,dataset-european-climates-mc-1.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,1,1,0.969697,0.199329,dataset-european-climates-mc-1.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,1,2,0.969697,0.197529,dataset-european-climates-mc-1.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,1,3,0.909091,0.199588,dataset-european-climates-mc-1.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,1,4,0.968750,0.200042,dataset-european-climates-mc-1.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,1,5,0.937500,0.140808,dataset-european-climates-mc-1.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,1,6,0.875000,0.097711,dataset-european-climates-mc-1.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,1,7,1.000000,0.095600,dataset-european-climates-mc-1.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,1,8,0.875000,0.095070,dataset-european-climates-mc-1.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,1,9,0.937500,0.094270,dataset-european-climates-mc-1.csv,sdsa_svc
0,mushroom,2,3.000000,154,sdsa_svc,6,0,0.750000,0.030422,dataset-mushroom-mc-6.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,6,1,0.750000,0.027486,dataset-mushroom-mc-6.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,6,2,0.750000,0.028252,dataset-mushroom-mc-6.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,6,3,0.750000,0.027633,dataset-mushroom-mc-6.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,6,4,0.733333,0.027781,dataset-mushroom-mc-6.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,6,5,0.733333,0.027988,dataset-mushroom-mc-6.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,6,6,0.733333,0.016043,dataset-mushroom-mc-6.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,6,7,0.733333,0.014462,dataset-mushroom-mc-6.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,6,8,0.733333,0.014659,dataset-mushroom-mc-6.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,6,9,0.733333,0.014572,dataset-mushroom-mc-6.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,0,0,0.939394,0.199460,dataset-european-climates-mc-0.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,0,1,0.939394,0.192111,dataset-european-climates-mc-0.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,0,2,1.000000,0.192770,dataset-european-climates-mc-0.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,0,3,0.909091,0.194553,dataset-european-climates-mc-0.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,0,4,1.000000,0.198226,dataset-european-climates-mc-0.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,0,5,0.968750,0.147014,dataset-european-climates-mc-0.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,0,6,0.906250,0.097927,dataset-european-climates-mc-0.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,0,7,0.937500,0.097412,dataset-european-climates-mc-0.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,0,8,0.906250,0.096433,dataset-european-climates-mc-0.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,0,9,0.875000,0.095385,dataset-european-climates-mc-0.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,1,0,0.981132,0.177434,dataset-dry-climates-mc-1.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,1,1,0.924528,0.178092,dataset-dry-climates-mc-1.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,1,2,0.942308,0.175072,dataset-dry-climates-mc-1.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,1,3,0.942308,0.175069,dataset-dry-climates-mc-1.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,1,4,0.846154,0.178063,dataset-dry-climates-mc-1.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,1,5,0.980769,0.177518,dataset-dry-climates-mc-1.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,1,6,0.980769,0.178766,dataset-dry-climates-mc-1.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,1,7,0.903846,0.185901,dataset-dry-climates-mc-1.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,1,8,0.961538,0.176992,dataset-dry-climates-mc-1.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,1,9,0.961538,0.179701,dataset-dry-climates-mc-1.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,9,0,0.962264,0.337549,dataset-dry-climates-mc-9.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,9,1,0.943396,0.330612,dataset-dry-climates-mc-9.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,9,2,0.961538,0.330785,dataset-dry-climates-mc-9.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,9,3,1.000000,0.332102,dataset-dry-climates-mc-9.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,9,4,0.980769,0.328560,dataset-dry-climates-mc-9.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,9,5,0.961538,0.215787,dataset-dry-climates-mc-9.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,9,6,0.923077,0.162123,dataset-dry-climates-mc-9.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,9,7,0.923077,0.158571,dataset-dry-climates-mc-9.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,9,8,0.961538,0.157121,dataset-dry-climates-mc-9.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,9,9,0.903846,0.149932,dataset-dry-climates-mc-9.csv,sdsa_svc
0,climates,10,16.000000,1415,sdsa_svc,4,0,0.718310,0.549478,dataset-climates-mc-4.csv,sdsa_svc
1,climates,10,16.000000,1415,sdsa_svc,4,1,0.704225,0.565930,dataset-climates-mc-4.csv,sdsa_svc
2,climates,10,16.000000,1415,sdsa_svc,4,2,0.683099,0.568951,dataset-climates-mc-4.csv,sdsa_svc
3,climates,10,16.000000,1415,sdsa_svc,4,3,0.661972,0.575753,dataset-climates-mc-4.csv,sdsa_svc
4,climates,10,16.000000,1415,sdsa_svc,4,4,0.697183,0.554753,dataset-climates-mc-4.csv,sdsa_svc
5,climates,10,16.000000,1415,sdsa_svc,4,5,0.758865,0.553282,dataset-climates-mc-4.csv,sdsa_svc
6,climates,10,16.000000,1415,sdsa_svc,4,6,0.723404,0.544396,dataset-climates-mc-4.csv,sdsa_svc
7,climates,10,16.000000,1415,sdsa_svc,4,7,0.737589,0.560202,dataset-climates-mc-4.csv,sdsa_svc
8,climates,10,16.000000,1415,sdsa_svc,4,8,0.758865,0.559780,dataset-climates-mc-4.csv,sdsa_svc
9,climates,10,16.000000,1415,sdsa_svc,4,9,0.765957,0.569444,dataset-climates-mc-4.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,5,0,0.939394,0.107102,dataset-european-climates-mc-5.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,5,1,0.878788,0.110186,dataset-european-climates-mc-5.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,5,2,0.878788,0.106638,dataset-european-climates-mc-5.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,5,3,0.969697,0.107879,dataset-european-climates-mc-5.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,5,4,0.937500,0.106758,dataset-european-climates-mc-5.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,5,5,0.968750,0.109441,dataset-european-climates-mc-5.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,5,6,0.968750,0.109245,dataset-european-climates-mc-5.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,5,7,0.968750,0.109164,dataset-european-climates-mc-5.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,5,8,1.000000,0.107027,dataset-european-climates-mc-5.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,5,9,0.906250,0.108950,dataset-european-climates-mc-5.csv,sdsa_svc
0,climates,10,16.000000,1415,sdsa_svc,2,0,0.746479,1.060326,dataset-climates-mc-2.csv,sdsa_svc
