x1_min,x1_max,x2_min,x2_max,y_min,y_max
55.8800,68.5800,68.0389,90.7185,9.0000,11.0000
49.0220,55.1180,16.7829,27.2155,12.0000,15.0000
25.4000,30.4800,2.4948,4.0823,12.0000,14.0000
45.7200,55.8800,13.6078,24.9476,12.0000,15.0000
30.4800,38.1000,5.2163,7.0307,12.0000,15.0000
66.0400,71.1200,27.2155,47.6272,9.0000,14.0000
38.1000,43.1800,5.4431,11.3398,11.0000,13.0000
59.6900,69.8500,31.7515,49.8952,10.0000,12.0000
54.6100,63.5000,6.8039,36.2874,10.0000,12.0000
35.5600,45.7200,11.3398,18.1437,10.0000,15.0000
53.3400,68.5800,24.9476,40.8233,10.0000,14.0000
48.2600,57.1500,15.8757,24.0404,10.0000,12.0000
46.9900,58.4200,18.1437,24.9476,0.0000,0.0000
55.8800,68.5800,24.9476,45.3592,12.0000,12.0000
44.4500,52.0700,13.6078,18.1437,12.0000,14.0000
69.8500,74.9300,40.8233,68.0389,8.0000,10.0000
17.7800,25.4000,3.6287,4.5359,12.0000,15.0000
53.3400,55.8800,22.6796,31.7515,12.0000,13.0000
35.5600,38.1000,18.1437,22.6796,8.0000,10.0000
60.9600,68.5800,45.3592,58.9670,7.0000,9.0000
24.1300,25.4000,5.8967,6.3503,13.0000,15.0000
48.2600,60.9600,15.8757,24.9476,12.0000,15.0000
59.6900,69.8500,0.0000,0.0000,9.0000,12.0000
26.6700,31.7500,11.3398,17.2365,12.0000,15.0000
45.0850,49.5300,13.6078,24.9476,0.0000,0.0000
55.8800,60.9600,22.6796,43.0913,10.0000,14.0000
58.4200,76.2000,44.9056,77.1107,10.0000,12.0000
30.4800,33.0200,5.8967,8.1647,12.0000,15.0000
64.7700,69.8500,39.9161,49.8952,0.0000,0.0000
25.4000,33.0200,6.3503,10.8862,12.0000,15.0000
53.3400,66.0400,24.9476,36.2874,10.0000,13.0000
12.7000,20.3200,2.7216,2.7216,14.0000,16.0000
27.9400,33.0200,3.6287,5.4431,13.0000,18.0000
45.7200,50.8000,20.4117,27.2155,8.0000,12.0000
55.8800,66.0400,22.6796,40.8233,12.0000,15.0000
43.1800,50.8000,20.4117,31.7515,8.0000,12.0000
41.9100,49.5300,7.7111,11.7934,12.0000,14.0000
43.1800,50.8000,24.9476,38.5554,10.0000,12.0000
34.2900,39.3700,9.0718,13.6078,10.0000,14.0000
55.8800,66.0400,22.6796,34.0194,12.0000,14.0000
22.8600,27.9400,3.6287,6.8039,15.0000,19.0000
40.6400,50.8000,13.1542,19.9581,13.0000,14.0000
58.4200,68.5800,27.2155,43.0913,10.0000,12.0000
59.6900,64.7700,19.9581,25.8548,10.0000,15.0000
12.7000,22.8600,4.9895,14.5150,12.0000,16.0000
48.2600,60.9600,20.4117,31.7515,11.0000,13.0000
20.3200,27.9400,8.1647,10.8862,12.0000,15.0000
31.7500,36.8300,6.8039,9.0718,11.0000,13.0000
45.7200,53.3400,18.1437,24.9476,12.0000,14.0000
60.9600,71.1200,27.2155,45.3592,10.0000,12.0000
60.9600,67.3100,39.9161,45.3592,9.0000,15.0000
58.4200,66.0400,44.9056,49.8952,5.0000,8.0000
53.3400,63.5000,21.7724,33.1122,11.0000,14.0000
30.4800,38.1000,15.8757,18.1437,15.0000,15.0000
54.6100,62.2300,19.0509,34.0194,11.0000,14.0000
38.1000,43.1800,11.7934,15.4221,12.0000,14.0000
60.9600,60.9600,27.2155,34.0194,10.0000,13.0000
58.4200,68.5800,20.4117,36.2874,12.0000,12.0000
48.2600,50.8000,18.1437,22.6796,12.0000,14.0000
22.8600,25.4000,3.6287,6.3503,10.0000,12.0000
40.6400,53.3400,18.1437,29.4835,11.0000,13.0000
62.2300,73.6600,34.9266,59.8742,10.0000,14.0000
48.2600,60.9600,18.1437,31.7515,12.0000,16.0000
43.1800,45.7200,15.8757,22.6796,12.0000,13.0000
40.6400,53.3400,14.9685,24.0404,12.0000,15.0000
39.3700,50.8000,9.0718,14.9685,13.0000,15.0000
55.8800,62.2300,27.2155,31.7515,8.0000,10.0000
27.9400,33.0200,12.7006,12.7006,10.0000,12.0000
54.6100,60.9600,22.6796,27.2155,10.0000,12.0000
55.8800,71.1200,24.9476,36.2874,12.0000,14.0000
43.1800,50.8000,11.3398,20.4117,12.0000,14.0000
55.8800,66.0400,22.6796,40.8233,7.0000,10.0000
53.3400,63.5000,20.4117,31.7515,10.0000,12.0000
30.4800,38.1000,10.8862,11.7934,13.0000,15.0000
55.8800,66.0400,22.6796,31.7515,14.0000,16.0000
59.6900,69.8500,24.9476,38.5554,12.0000,15.0000
31.7500,35.5600,14.5150,18.1437,10.0000,15.0000
54.6100,60.9600,24.9476,34.0194,10.0000,12.0000
58.4200,68.5800,20.4117,36.2874,12.0000,13.0000
